2026-04-03 12:41:58,950 INFO sidecar_start | {"database": "/Users/jagjeevankashid/Library/Application Support/FreeCAD/v1-2/MagicCADAI/runs.sqlite3", "host": "127.0.0.1", "log_file": "/Users/jagjeevankashid/Developer/hackethon/MagicCAD/magiccadai.log", "port": 53148}
2026-04-03 12:42:13,079 INFO publish_event | {"event": "report_ready", "payload": {"report": {"assistant_phase": "draft_plan", "created_at": "2026-04-03T07:12:13Z", "html": "<html><body><pre># MagicCAD AI Validation Report\n\nSummary: Prepared a draft change for your request. Proposed action: Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.\n\nIssue counts: {&quot;total&quot;: 0}\n\n## Issues\n- No deterministic issues detected.\n\n## Proposed Changes\n- Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.\n\n## Tool Results\n- Applied successfully\n</pre></body></html>", "issue_counts": {"total": 0}, "issues": [], "markdown": "# MagicCAD AI Validation Report\n\nSummary: Prepared a draft change for your request. Proposed action: Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.\n\nIssue counts: {\"total\": 0}\n\n## Issues\n- No deterministic issues detected.\n\n## Proposed Changes\n- Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.\n\n## Tool Results\n- Applied successfully\n", "model_info": {"gemini_enabled": true, "groq_enabled": false, "langgraph_enabled": false, "langgraph_error": "Invalid checkpointer provided. Expected an instance of `BaseCheckpointSaver`, `True`, `False`, or `None`. Received _GeneratorContextManager. Pass a proper saver (e.g., InMemorySaver, AsyncPostgresSaver).", "openai_enabled": true, "requested_model": "gemini-2.5-flash"}, "previous_response_id": "gemini-2.5-flash", "proposed_changes": [{"change_id": "55ef9365a73c42e0abbf3097e4ec5eef", "ops": [{"center_bore": 6.0, "module": 2.0, "name": "MagicGear", "number_of_teeth": 10, "op": "create_involute_gear", "pressure_angle": 20.0, "thickness": 8.0}, {"op": "recompute"}], "risk_level": "medium", "summary": "Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm."}], "report_id": "7081e9d7182d4cd8890f85384e7874c5", "rulepack_version": "v1", "snapshot_hash": "7972252edfe7a2a46e8ad2fbee3ed4e4f6385284ac6e756c44259309dad3a2ee", "summary": "Prepared a draft change for your request. Proposed action: Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.", "thread_id": "b9584d052ba34a7e9d61a0a99cc888a7"}}, "run_id": "99def43d89d84e4097be0ed9057c297d"}
2026-04-03 12:42:13,080 INFO publish_event | {"event": "run_finished", "payload": {"status": "completed"}, "run_id": "99def43d89d84e4097be0ed9057c297d"}
2026-04-03 12:42:13,080 INFO run_completed | {"mode": "without_langgraph", "run_id": "99def43d89d84e4097be0ed9057c297d", "status": "completed"}
2026-04-03 12:44:40,066 INFO sidecar_stop | {"host": "127.0.0.1", "port": 53148}
2026-04-03 12:47:54,939 INFO sidecar_start | {"database": "/Users/jagjeevankashid/Library/Application Support/FreeCAD/v1-2/MagicCADAI/runs.sqlite3", "host": "127.0.0.1", "log_file": "/Users/jagjeevankashid/Developer/hackethon/MagicCAD/magiccadai.log", "port": 53160}
2026-04-03 12:47:54,946 INFO create_run | {"request": {"intent": "copilot", "model": "gemini-2.5-flash", "previous_response_id": "", "prompt": "Create a gear with 10 teeth, 2 mm module, 8 mm thickness, and 6 mm center bore.", "requested_at": "2026-04-03T07:17:51Z", "selection_only": false, "snapshot": {"active_object_id": "", "active_workbench": "MagicCADAIWorkbench", "dependency_edges": [], "document_id": "c152fa15-9f4b-477a-bc8e-da5f5e3f3abc", "document_label": "MagicCAD", "document_name": "MagicCAD", "objects": [], "parameters": [], "recompute_errors": [], "selection": [], "snapshot_hash": "0d635b362c955c12f30db238afcc273ed06bc0f20bea4627139ca90d13c5794b", "units": 0}, "thread_id": ""}, "run_id": "783797274bb5434ca45e9af9d37f032e", "thread_id": "7d429301d5804e89a8e6811ab1542273"}
2026-04-03 12:47:54,946 INFO run_drive_graph | {"mode": "start", "run_id": "783797274bb5434ca45e9af9d37f032e", "thread_id": "7d429301d5804e89a8e6811ab1542273"}
2026-04-03 12:47:54,947 INFO publish_event | {"event": "run_started", "payload": {"status": "running"}, "run_id": "783797274bb5434ca45e9af9d37f032e"}
2026-04-03 12:47:59,835 INFO llm_explain | {"assistant_text": "Reviewed 0 objects and found 0 issues. No deterministic validation risks were detected.", "intent": "validate", "model": "gpt-5.4", "prompt": "", "provider": "openai", "responder_available": true, "responder_error": "Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}", "run_id": "", "used_fallback": true}
2026-04-03 12:47:59,850 INFO publish_event | {"event": "report_ready", "payload": {"report": {"assistant_phase": "complete", "created_at": "2026-04-03T07:17:59Z", "html": "<html><body><pre># MagicCAD AI Validation Report\n\nSummary: Prepared a draft change for your request. Proposed action: Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.\n\nIssue counts: {&quot;total&quot;: 0}\n\n## Issues\n- No deterministic issues detected.\n</pre></body></html>", "issue_counts": {"total": 0}, "issues": [], "markdown": "# MagicCAD AI Validation Report\n\nSummary: Prepared a draft change for your request. Proposed action: Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.\n\nIssue counts: {\"total\": 0}\n\n## Issues\n- No deterministic issues detected.\n", "model_info": {"gemini_enabled": true, "groq_enabled": false, "langgraph_enabled": true, "langgraph_error": "", "openai_enabled": true, "requested_model": "gemini-2.5-flash"}, "previous_response_id": "", "proposed_changes": [], "report_id": "5b4c4c88c6b14e78af0365e5b17384e8", "rulepack_version": "v1", "snapshot_hash": "0d635b362c955c12f30db238afcc273ed06bc0f20bea4627139ca90d13c5794b", "summary": "Prepared a draft change for your request. Proposed action: Create an involute gear named MagicGear with 10 teeth, module 2.0, pressure angle 20.0 deg, thickness 8.0 mm, and center bore 6.0 mm.", "thread_id": "7d429301d5804e89a8e6811ab1542273"}}, "run_id": "783797274bb5434ca45e9af9d37f032e"}
2026-04-03 12:47:59,850 INFO publish_event | {"event": "run_finished", "payload": {"status": "completed"}, "run_id": "783797274bb5434ca45e9af9d37f032e"}
2026-04-03 12:47:59,850 INFO run_completed | {"mode": "start", "run_id": "783797274bb5434ca45e9af9d37f032e", "status": "completed"}
2026-04-03 12:52:49,292 INFO sidecar_stop | {"host": "127.0.0.1", "port": 53160}
